tweet_id,favorite_count,retweet_count,source
892420643555336193,39467,8853,Twitter for iPhone
892177421306343426,33819,6514,Twitter for iPhone
891815181378084864,25461,4328,Twitter for iPhone
891689557279858688,42908,8964,Twitter for iPhone
891327558926688256,41048,9774,Twitter for iPhone
891087950875897856,20562,3261,Twitter for iPhone
890971913173991426,12041,2158,Twitter for iPhone
890729181411237888,56848,16716,Twitter for iPhone
890609185150312448,28226,4429,Twitter for iPhone
890240255349198849,32467,7711,Twitter for iPhone
890006608113172480,31166,7624,Twitter for iPhone
889880896479866881,28268,5156,Twitter for iPhone
889665388333682689,38818,8538,Twitter for iPhone
889638837579907072,27672,4735,Twitter for iPhone
889531135344209921,15359,2321,Twitter for iPhone
889278841981685760,25652,5637,Twitter for iPhone
888917238123831296,29611,4709,Twitter for iPhone
888804989199671297,26080,4559,Twitter for iPhone
888554962724278272,20290,3732,Twitter for iPhone
888078434458587136,22201,3653,Twitter for iPhone
887705289381826560,30779,5609,Twitter for iPhone
887517139158093824,46959,12082,Twitter for iPhone
887473957103951883,69871,18781,Twitter for iPhone
887343217045368832,34222,10737,Twitter for iPhone
887101392804085760,31061,6167,Twitter for iPhone
886983233522544640,35859,8084,Twitter for iPhone
886736880519319552,12306,3443,Twitter for iPhone
886680336477933568,22798,4610,Twitter for iPhone
886366144734445568,21524,3316,Twitter for iPhone
886267009285017600,117,4,Twitter for iPhone
886258384151887873,28469,6523,Twitter for iPhone
886054160059072513,0,108,Twitter for iPhone
885984800019947520,33382,7097,Twitter for iPhone
885528943205470208,36689,6683,Twitter for iPhone
885518971528720385,20788,3899,Twitter for iPhone
885311592912609280,0,19297,Twitter for iPhone
885167619883638784,22367,4556,Twitter for iPhone
884925521741709313,68152,16439,Twitter for iPhone
884876753390489601,28514,6096,Twitter for iPhone
884562892145688576,24765,5100,Twitter for iPhone
884441805382717440,27478,5856,Twitter for iPhone
884247878851493888,74423,21298,Twitter for iPhone
884162670584377345,20771,3128,Twitter for iPhone
883838122936631299,22349,3586,Twitter for iPhone
883482846933004288,46860,10407,Twitter for iPhone
883360690899218434,22986,3825,Twitter for iPhone
883117836046086144,37914,6949,Twitter for iPhone
882992080364220416,24445,4122,Twitter for iPhone
882762694511734784,28903,5134,Twitter for iPhone
882627270321602560,28382,6342,Twitter for iPhone
882268110199369728,45880,12118,Twitter for iPhone
882045870035918850,29900,5203,Twitter for iPhone
881906580714921986,24773,3533,Twitter for iPhone
881666595344535552,51522,11099,Twitter for iPhone
881633300179243008,129,7,Twitter for iPhone
881536004380872706,50199,16570,Twitter for iPhone
881268444196462592,23501,5358,Twitter for iPhone
880935762899988482,17346,2886,Twitter for iPhone
880872448815771648,21734,3989,Twitter for iPhone
880465832366813184,29075,6546,Twitter for iPhone
880221127280381952,27640,4436,Twitter for iPhone
880095782870896641,28150,4533,Twitter for iPhone
879862464715927552,22667,3642,Twitter for iPhone
879674319642796034,315,10,Twitter for iPhone
879492040517615616,23822,3323,Twitter for iPhone
879415818425184262,107956,45849,Twitter for iPhone
879376492567855104,17099,3261,Twitter for iPhone
879130579576475649,0,7181,Twitter for iPhone
879050749262655488,23022,4941,Twitter for iPhone
879008229531029506,19317,2812,Twitter for iPhone
878776093423087618,19763,4319,Twitter for iPhone
878604707211726852,30931,7582,Twitter for iPhone
878404777348136964,0,1349,Twitter for iPhone
878316110768087041,0,6965,Twitter for iPhone
878281511006478336,7913,1349,Twitter for iPhone
878057613040115712,42876,7181,Twitter for iPhone
877736472329191424,71144,17300,Twitter for iPhone
877611172832227328,0,83,Twitter for iPhone
877556246731214848,23258,3994,Twitter for iPhone
877316821321428993,27907,5414,Twitter for iPhone
877201837425926144,27755,5880,Twitter for iPhone
876838120628539392,21125,3506,Twitter for iPhone
876537666061221889,23869,4800,Twitter for iPhone
876484053909872640,19163,2511,Twitter for iPhone
876120275196170240,28490,4903,Twitter for iPhone
875747767867523072,25773,4497,Twitter for iPhone
875144289856114688,22185,5081,Twitter for iPhone
875097192612077568,27997,6342,Twitter for iPhone
875021211251597312,26022,4922,Twitter for iPhone
874680097055178752,28439,4875,Twitter for iPhone
874434818259525634,0,15546,Twitter for iPhone
874296783580663808,26651,4308,Twitter for iPhone
874057562936811520,23134,4125,Twitter for iPhone
874012996292530176,35501,11007,Twitter for iPhone
873697596434513921,0,12518,Twitter for iPhone
873580283840344065,24837,4143,Twitter for iPhone
873337748698140672,0,1667,Twitter for iPhone
873213775632977920,7467,1667,Twitter for iPhone
872967104147763200,28031,5669,Twitter for iPhone
872820683541237760,15029,3884,Twitter for iPhone
872668790621863937,0,31,Twitter for iPhone
872620804844003328,21309,3911,Twitter for iPhone
872486979161796608,41606,9429,Twitter for iPhone
872261713294495745,35085,6649,Twitter for iPhone
872122724285648897,35324,8549,Twitter for iPhone
871879754684805121,39090,11918,Twitter for iPhone
871762521631449091,20787,3678,Twitter for iPhone
871515927908634625,20730,3628,Twitter for iPhone
871166179821445120,0,5991,Twitter for iPhone
871102520638267392,21461,5764,Twitter for iPhone
871032628920680449,23255,3999,Twitter for iPhone
870804317367881728,33791,6393,Twitter for iPhone
870726314365509632,121,3,Twitter for iPhone
870656317836468226,12819,2817,Twitter for iPhone
870374049280663552,85011,27680,Twitter for iPhone
870308999962521604,22453,4384,Twitter for iPhone
870063196459192321,37771,8840,Twitter for iPhone
869988702071779329,0,25661,Twitter for iPhone
869772420881756160,43710,10663,Twitter for iPhone
869702957897576449,29116,6728,Twitter for iPhone
869596645499047938,16476,3327,Twitter for iPhone
869227993411051520,21112,4023,Twitter for iPhone
868880397819494401,55098,12518,Twitter for iPhone
868639477480148993,0,2240,Twitter for iPhone
868622495443632128,28295,6275,Twitter for iPhone
868552278524837888,10539,2240,Twitter for iPhone
867900495410671616,24964,4439,Twitter for iPhone
867774946302451713,35179,7788,Twitter for iPhone
867421006826221569,16755,2697,Twitter for iPhone
867072653475098625,0,135,Twitter for iPhone
867051520902168576,33420,8425,Twitter for iPhone
866816280283807744,0,32883,Twitter for iPhone
866720684873056260,20888,5168,Twitter for iPhone
866686824827068416,20070,3727,Twitter for iPhone
866450705531457537,106827,32883,Twitter for iPhone
866334964761202691,54720,15546,Twitter for iPhone
866094527597207552,0,8952,Twitter for iPhone
865718153858494464,26640,6008,Twitter for iPhone
865359393868664832,27530,5384,Twitter for iPhone
865006731092295680,29063,8209,Twitter for iPhone
864873206498414592,33651,9361,Twitter for iPhone
864279568663928832,15195,3266,Twitter for iPhone
864197398364647424,31459,9616,Twitter for iPhone
863907417377173506,21477,4441,Twitter for iPhone
863553081350529029,15935,4489,Twitter for iPhone
863471782782697472,0,2687,Twitter for iPhone
863432100342583297,24829,5664,Twitter for iPhone
863427515083354112,2363,105,Twitter for iPhone
863079547188785154,9094,1195,Twitter for iPhone
863062471531167744,8945,2687,Twitter for iPhone
862831371563274240,20011,5457,Twitter for iPhone
862722525377298433,17779,3809,Twitter for iPhone
862457590147678208,21492,5388,Twitter for iPhone
862096992088072192,66437,21840,Twitter for iPhone
861769973181624320,0,37911,Twitter for iPhone
861383897657036800,37744,11528,Twitter for iPhone
861288531465048066,18032,4479,Twitter for iPhone
861005113778896900,17538,4119,Twitter for iPhone
860981674716409858,0,2334,Twitter for iPhone
860924035999428608,0,882,Twitter for iPhone
860563773140209665,7878,2334,Twitter for iPhone
860524505164394496,24678,5698,Twitter for iPhone
860276583193509888,19154,3745,Twitter for iPhone
860184849394610176,17474,6295,Twitter for iPhone
860177593139703809,0,33421,Twitter for iPhone
859924526012018688,20021,4349,Twitter for iPhone
859851578198683649,16105,3780,Twitter for iPhone
859607811541651456,19476,1704,Twitter for iPhone
859196978902773760,75193,25661,Twitter for iPhone
859074603037188101,35553,14740,Twitter for iPhone
858860390427611136,0,8805,Twitter for iPhone
858843525470990336,16304,3771,Twitter for iPhone
858471635011153920,22640,5271,Twitter for iPhone
858107933456039936,16524,3154,Twitter for iPhone
857989990357356544,16952,2812,Twitter for iPhone
857746408056729600,36021,11524,Twitter for iPhone
857393404942143489,6236,1785,Twitter for iPhone
857263160327368704,21041,4934,Twitter for iPhone
857214891891077121,242,20,Twitter for iPhone
857062103051644929,0,183,Twitter for iPhone
857029823797047296,19910,4364,Twitter for iPhone
856602993587888130,0,11633,Twitter for iPhone
856543823941562368,17135,3131,Twitter for iPhone
856526610513747968,12446,2068,Twitter for iPhone
856330835276025856,0,731,Twitter for iPhone
856288084350160898,545,17,Twitter for iPhone
856282028240666624,29086,6841,Twitter for iPhone
855862651834028034,320,27,Twitter for iPhone
855860136149123072,4407,1058,Twitter for iPhone
855857698524602368,12498,2313,Twitter for iPhone
855851453814013952,47844,19196,Twitter for iPhone
855818117272018944,28056,5943,Twitter for iPhone
855459453768019968,31657,8987,Twitter for iPhone
855245323840757760,0,6568,Twitter for iPhone
855138241867124737,0,50,Twitter for iPhone
854732716440526848,24188,6690,Twitter for iPhone
854482394044301312,31131,7608,Twitter for iPhone
854365224396361728,20046,5159,Twitter for iPhone
854120357044912130,33911,8285,Twitter for iPhone
854010172552949760,17169,3433,Twitter for iPhone
853760880890318849,30414,6403,Twitter for iPhone
853639147608842240,37198,11265,Twitter for iPhone
